Year,Month,ProductCategory,Sales(In ThousandDollars)
2009,1,OtherClothing,936
2009,2,OtherClothing,859
2009,3,OtherClothing,921
2009,4,OtherClothing,914
2009,5,OtherClothing,989
2009,6,OtherClothing,932
2009,7,OtherClothing,901
2009,8,OtherClothing,865
2009,9,OtherClothing,819
2009,10,OtherClothing,914
2009,11,OtherClothing,955
2009,12,OtherClothing,1351
2010,1,OtherClothing,945
2010,2,OtherClothing,869
2010,3,OtherClothing,941
2010,4,OtherClothing,
2010,5,OtherClothing,991
2010,6,OtherClothing,984
2010,7,OtherClothing,937
2010,8,OtherClothing,897
2010,9,OtherClothing,839
2010,10,OtherClothing,930
2010,11,OtherClothing,1035
2010,12,OtherClothing,1398
2011,1,OtherClothing,968
2011,2,OtherClothing,878
2011,3,OtherClothing,1064
2011,4,OtherClothing,985
2011,5,OtherClothing,1027
2011,6,OtherClothing,
2011,7,OtherClothing,985
2011,8,OtherClothing,1001
2011,9,OtherClothing,930
2011,10,OtherClothing,1020
2011,11,OtherClothing,1147
2011,12,OtherClothing,1596
2012,1,OtherClothing,1039
2012,2,OtherClothing,
2012,3,OtherClothing,1229
2012,4,OtherClothing,1136
2012,5,OtherClothing,1155
2012,6,OtherClothing,1205
2012,7,OtherClothing,1049
2012,8,OtherClothing,1124
2012,9,OtherClothing,1045
2012,10,OtherClothing,1158
2012,11,OtherClothing,1252
2012,12,OtherClothing,1475
2013,1,OtherClothing,1036
2013,2,OtherClothing,1144
2013,3,OtherClothing,1346
2013,4,OtherClothing,1188
2013,5,OtherClothing,1194
2013,6,OtherClothing,1261
2013,7,OtherClothing,1126
2013,8,OtherClothing,1311
2013,9,OtherClothing,1043
2013,10,OtherClothing,
2013,11,OtherClothing,1209
2013,12,OtherClothing,1566
2014,1,OtherClothing,1172
2014,2,OtherClothing,1123
2014,3,OtherClothing,1293
2014,4,OtherClothing,1196
2014,5,OtherClothing,1257
2014,6,OtherClothing,
2014,7,OtherClothing,1175
2014,8,OtherClothing,1337
2014,9,OtherClothing,1056
2014,10,OtherClothing,1153
2014,11,OtherClothing,1468
2014,12,OtherClothing,1967
