Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,PartyInPower,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,AdvertisingExpenses (in Thousand Dollars),Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports
14421.753,14407.053,233.402,Democrats,7.8,12.03,11.44,22.05,137,57.7,4.02,9.296,7.559,799,12.589,4.17,11.55
14389.2,14366.177,234.663,Democrats,8.3,12.97,11.05,22.22,200,55.21,-4.32,9.296,7.559,799,12.589,3.87,11.1
14340.702,14351.787,235.067,Democrats,8.7,12.97,11.05,22.22,?,51.5,-6.72,9.296,7.559,799,12.589,3.72,11.65
14326.816,14351.602,235.582,Democrats,9,12.97,11.05,22.13,214,56.78,10.25,9.296,7.559,787,12.4,3.62,12.225
14345.905,14368.124,235.975,Democrats,9.4,13.32,11.25,22.04,?,61.95,9.11,9.297,7.4,803,12.384,3.52,12.3
14348.531,14346.82,237.172,Democrats,9.5,13.32,11.25,21.96,?,61.39,-0.9,8.668,7.76,796,12.876,3.47,10.3
14317.373,14345.676,237.6,Democrats,9.5,13.32,11.25,22,?,64.8,5.55,8.905,7.753,796,12.863,3.47,9.7
14424.285,14435.813,238.282,Democrats,9.6,13.71,10.89,22.16,?,64.26,-0.83,8.905,7.619,809,12.84,3.47,9.7
14410.777,14425.973,238.568,Democrats,9.8,13.71,10.89,22.2,?,64.07,-0.3,8.989,7.582,827,13.071,3.47,10
14596.605,14595.393,238.38,Democrats,10,13.71,10.89,22.27,?,66.82,4.29,8.989,7.586,799,12.631,3.37,10
14590.432,14559.41,238.777,Democrats,9.9,13.6,11.2,22.44,?,71.78,7.42,8.989,7.586,767,12.129,3.37,9.95
14512.495,14471.041,238.427,Democrats,9.9,13.6,11.2,22.38,?,76.78,6.97,8.989,7.586,774,12.225,3.37,10.425
14613.991,14551.025,238.97,Democrats,9.8,13.6,11.2,22.51,248,77.4,0.81,9.008,7.552,763,12.011,3.37,10.4
14652.88,14581.376,238.862,Democrats,9.8,14.26,10.83,22.57,?,80.04,3.41,9.008,7.552,763,12.011,3.37,11.4
14776.317,14682.011,240.101,Democrats,9.9,14.26,10.83,22.48,?,85.79,7.18,9.008,7.552,763,12.011,3.47,11.375
14844.531,14724.2,240.529,Democrats,9.9,14.26,10.83,22.53,116,88.09,2.68,9.008,7.552,747,11.751,3.47,11.365
14875.698,14741.367,241.075,Democrats,9.6,13.84,11,22.6,?,90.07,2.25,9.008,7.391,766,11.788,3.375,11.34
14945.57,14772.318,240.817,Democrats,9.4,13.84,11,22.34,?,91.68,1.79,10.315,9.642,806,16.2,3.275,13.05
15019.235,14833.749,241.147,Democrats,9.4,13.84,11,22.41,?,84.15,-8.21,10.7,10.193,836,17.75,3.37,13.8
15036.278,14824.166,241.569,Democrats,9.5,13.59,10.71,22.55,?,90.35,7.37,10.7,10.424,831,18.036,3.37,14.525
15117.467,14878.547,241.485,Democrats,9.5,13.59,10.71,22.6,165,104.73,15.92,10.829,10.566,833,18.343,3.57,15.025
15219.059,14945.427,241.981,Democrats,9.4,13.59,10.71,22.7,?,126.55,20.83,10.829,10.566,835,18.375,3.57,15.025
15185.629,14896.675,241.96,Democrats,9.8,13.44,10.94,22.69,150,155.47,22.85,10.829,10.566,814,17.92,3.42,15.275
15285.936,14975.04,241.874,Democrats,9.3,13.44,10.94,22.76,?,168.22,8.2,10.829,10.566,807,17.77,3.52,15.275
15149.136,14838.156,242.639,Democrats,9.1,13.44,10.94,23.16,?,178.93,6.37,10.769,10.505,814,17.817,3.565,15.28
15161.578,14801.734,243.832,Democrats,9,13.44,10.98,22.99,?,213.18,19.14,10.769,10.505,814,17.817,3.565,15.28
15404.399,15004.115,245.617,Democrats,9,13.44,10.98,22.9,?,229.67,7.74,10.769,10.505,814,17.817,3.565,15.28
15488.005,15050.661,246.489,Democrats,9.1,13.44,10.98,22.96,?,216.62,-5.68,10.769,10.505,804,17.597,3.665,15.28
15472.391,14990.964,248.073,Democrats,9,12.89,11.37,23.06,?,165.52,-23.59,10.769,10.497,805,17.6,3.76,15.02
15422.382,14927.333,248.505,Democrats,9.1,12.89,11.37,22.81,221,160.65,-2.94,12.313,9.95,787,16.323,3.77,12.4
15547.854,15011.761,249.164,Democrats,9,12.89,11.37,22.94,?,149.25,-7.1,13.436,9.314,785,15.225,3.77,11.325
15649.038,15085.229,250.058,Democrats,9,12.28,10.8,22.85,?,114.1,-23.55,13.436,9.379,809,15.817,3.77,11.65
15564.482,14966.823,250.559,Democrats,9,12.28,10.8,23.05,?,116.65,2.23,14.431,9.562,794,15.819,3.775,11.325
15840.385,15249.763,250.051,Democrats,8.8,12.28,10.8,23.3,?,110.61,-5.18,14.431,9.562,797,15.871,3.775,10.825
15775.006,15172.693,249.317,Democrats,8.6,12.36,10.36,23.15,?,104.68,-5.36,14.431,9.562,781,15.563,3.775,10.625
15740.545,15148.822,248.307,Democrats,8.5,12.36,10.36,23.22,?,95.45,-8.82,14.431,9.562,757,15.09,3.575,10.65
15864.502,15226.205,249.322,Democrats,8.3,12.36,10.36,23.56,?,101.11,5.93,14.426,9.444,754,14.828,3.575,10.35
16073.575,15385.847,250.285,Democrats,8.3,12.34,10.89,23.4,?,100.75,-0.36,14.426,9.444,754,14.828,3.475,10.35
15983.565,15261.341,251.887,Democrats,8.2,12.34,10.89,23.39,?,99.5,-1.24,14.426,9.444,754,14.828,3.375,10.35
16091.228,15340.654,252.349,Democrats,8.2,12.34,10.89,23.61,?,100.1,0.6,14.428,9.156,772,14.722,3.373,10.75
16121.959,15354.651,252.652,Democrats,8.2,12.06,10.94,23.32,?,88.53,-11.56,14.428,9.156,772,14.722,3.373,10.75
16152.366,15392.249,252.406,Democrats,8.2,12.06,10.94,23.27,208,82.18,-7.17,12.885,10.234,764,16.28,3.47,11.1
16239.42,15433.37,252.016,Democrats,8.2,12.06,10.94,23.48,?,83.97,2.18,12.4,10.167,773,16.365,3.375,11.4
16161.118,15317.424,253.472,Democrats,8.1,11.95,10.37,23.26,201,84.4,0.51,12.4,10.577,771,16.988,3.375,11.375
16283.279,15391.877,254.554,Democrats,7.8,11.95,10.37,23.67,?,84.15,-0.3,12.121,10.206,774,16.452,3.375,11.075
16208.315,15292.35,254.277,Democrats,7.8,11.95,10.37,23.52,?,81.95,-2.61,12.121,10.206,782,16.63,3.375,10.875
16272.706,15362.098,254.285,Democrats,7.7,11.88,10.64,23.58,?,80.87,-1.32,12.121,10.206,790,16.79,3.375,10.875
16411.026,15498.652,253.555,Democrats,7.9,11.88,10.64,23.85,?,83.37,3.09,12.121,10.206,781,16.6,3.375,11.075
16503.916,15554.427,254.807,Democrats,8,11.88,10.64,23.88,?,85.51,2.57,12.077,9.19,849,16.25,3.38,11.475
