Year,Month,ProductCategory,Sales(In ThousandDollars)
2009,1,WomenClothing,1755
2009,2,WomenClothing,1729
2009,3,WomenClothing,2256
2009,4,WomenClothing,2662
2009,5,WomenClothing,2732
2009,6,WomenClothing,2220
2009,7,WomenClothing,2164
2009,8,WomenClothing,2371
2009,9,WomenClothing,2421
2009,10,WomenClothing,2579
2009,11,WomenClothing,2521
2009,12,WomenClothing,3390
2010,1,WomenClothing,2142
2010,2,WomenClothing,2413
2010,3,WomenClothing,3102
2010,4,WomenClothing,
2010,5,WomenClothing,3221
2010,6,WomenClothing,2756
2010,7,WomenClothing,2749
2010,8,WomenClothing,2807
2010,9,WomenClothing,2919
2010,10,WomenClothing,3071
2010,11,WomenClothing,3276
2010,12,WomenClothing,4360
2011,1,WomenClothing,2193
2011,2,WomenClothing,2620
2011,3,WomenClothing,3266
2011,4,WomenClothing,3414
2011,5,WomenClothing,3340
2011,6,WomenClothing,3232
2011,7,WomenClothing,2896
2011,8,WomenClothing,3245
2011,9,WomenClothing,3182
2011,10,WomenClothing,
2011,11,WomenClothing,3499
2011,12,WomenClothing,4775
2012,1,WomenClothing,2287
2012,2,WomenClothing,2800
2012,3,WomenClothing,3566
2012,4,WomenClothing,3724
2012,5,WomenClothing,3800
2012,6,WomenClothing,3086
2012,7,WomenClothing,2877
2012,8,WomenClothing,3059
2012,9,WomenClothing,
2012,10,WomenClothing,3168
2012,11,WomenClothing,3558
2012,12,WomenClothing,4824
2013,1,WomenClothing,2320
2013,2,WomenClothing,2872
2013,3,WomenClothing,3687
2013,4,WomenClothing,3883
2013,5,WomenClothing,4170
2013,6,WomenClothing,3360
2013,7,WomenClothing,3320
2013,8,WomenClothing,3539
2013,9,WomenClothing,3720
2013,10,WomenClothing,3590
2013,11,WomenClothing,3834
2013,12,WomenClothing,4865
2014,1,WomenClothing,2961
2014,2,WomenClothing,3381
2014,3,WomenClothing,4268
2014,4,WomenClothing,4223
2014,5,WomenClothing,4421
2014,6,WomenClothing,3905
2014,7,WomenClothing,3733
2014,8,WomenClothing,4067
2014,9,WomenClothing,4481
2014,10,WomenClothing,4434
2014,11,WomenClothing,4525
2014,12,WomenClothing,5664
